pH,Electrical_Conductivity,Organic_Carbon,Available_Nitrogen,Available_Phosphorus,Available_Potassium,Exchangeable_Calcium,Exchangeable_Magnesium,Available_Sulfur,Iron,Manganese,Zinc,Copper,Soil_Depth,Soil_Type,Fit_for_Betel_Vine
6.76,0.99,0.58,280,15,186,4.52,1.39,14,22.87,2.71,0.56,0.32,Subsurface,Loamy,Yes
6.6,0.89,1.01,329,23,293,1.9,0.68,14,20.35,8.07,1.1,0.64,Subsurface,Sandy,No
7.92,0.91,0.77,282,35,265,3.08,1.41,14,12.35,5.01,1.47,0.43,Subsurface,Loamy,Yes
7.95,0.69,0.55,394,37,269,1.65,2.08,8,16.57,9.32,1.57,0.39,Surface,Sandy,Yes
7.71,0.41,1.07,348,37,229,4.63,0.66,13,9.48,9.67,1.3,0.7,Surface,Clayey,No
6.96,0.9,0.91,303,24,268,2.01,1.71,19,18.57,8.97,1.15,0.68,Surface,Sandy,Yes
6.65,0.36,0.67,303,13,185,4.32,1.32,6,11.95,3.81,0.53,0.47,Surface,Sandy,Yes
7.53,0.61,1.13,384,36,184,4.73,1.81,9,9.42,4.03,0.89,0.95,Surface,Mixed,Yes
7.16,0.19,0.53,388,11,281,3.05,2.14,17,16.7,8.35,1.5,0.52,Subsurface,Mixed,Yes
6.68,0.93,0.64,279,28,240,2.86,1.58,12,7.24,5.57,1.17,0.35,Subsurface,Sandy,No
7.24,0.23,1.03,331,37,281,3.6,1.11,14,18.73,4.38,0.9,0.91,Subsurface,Mixed,Yes
6.55,0.3,1.0,306,22,265,4.09,0.68,15,8.74,4.35,0.84,0.76,Surface,Clayey,No
7.86,0.6,0.7,319,21,274,3.76,1.08,6,16.07,6.62,0.53,0.8,Surface,Sandy,Yes
6.89,0.79,0.54,315,34,237,1.5,1.23,18,12.85,9.16,1.74,0.88,Subsurface,Sandy,Yes
7.49,0.66,1.1,356,30,201,4.25,1.78,11,16.32,6.95,1.82,0.84,Subsurface,Sandy,Yes
6.97,0.31,0.72,259,32,236,2.02,1.28,16,9.92,6.96,1.05,0.88,Surface,Loamy,No
7.28,0.1,0.64,381,22,298,3.07,1.31,10,11.21,7.98,1.55,0.38,Subsurface,Mixed,Yes
7.32,0.78,0.86,323,24,254,2.49,1.08,5,7.81,8.08,0.6,0.69,Subsurface,Mixed,Yes
6.78,0.99,1.14,322,11,211,4.75,1.23,17,20.54,9.28,1.83,0.74,Surface,Mixed,Yes
7.95,0.83,0.53,311,17,196,3.26,1.03,11,6.4,3.3,1.86,0.43,Subsurface,Loamy,Yes
7.66,0.51,1.04,358,12,237,3.33,1.97,19,12.53,9.88,0.74,1.0,Subsurface,Mixed,Yes
7.91,0.91,0.9,291,10,220,1.77,2.47,14,13.98,4.63,1.67,0.85,Subsurface,Clayey,Yes
7.84,0.47,0.8,273,38,201,4.64,1.97,13,8.9,4.25,1.21,0.93,Subsurface,Sandy,No
7.4,0.57,1.02,254,33,259,2.34,0.65,5,12.7,6.08,1.52,0.32,Subsurface,Sandy,No
7.88,0.53,1.18,348,20,221,2.95,1.77,6,13.36,4.11,1.21,0.23,Surface,Mixed,Yes
6.63,0.5,0.66,348,36,258,4.95,1.91,11,9.49,3.86,0.62,0.22,Subsurface,Loamy,Yes
6.79,0.8,0.6,369,18,187,1.9,2.06,5,17.79,9.73,1.76,0.89,Subsurface,Sandy,Yes
6.57,0.57,1.14,326,33,225,4.01,2.03,17,5.62,2.83,0.63,0.64,Surface,Clayey,Yes
6.99,0.39,0.97,350,26,227,2.41,1.52,6,8.95,9.92,1.04,0.45,Subsurface,Clayey,Yes
7.08,0.33,0.81,345,37,294,2.97,1.02,7,17.48,6.98,1.98,0.84,Subsurface,Sandy,Yes
6.91,0.13,0.9,369,16,182,2.96,0.74,6,17.55,9.67,1.14,0.72,Subsurface,Sandy,No
7.74,0.62,1.02,314,32,256,4.76,0.52,17,10.31,9.18,1.73,0.7,Subsurface,Clayey,No
7.04,0.31,1.04,370,13,209,1.54,0.5,6,18.66,7.19,0.75,0.84,Surface,Mixed,No
6.92,0.23,1.14,339,38,207,2.79,2.37,6,14.4,6.72,1.75,0.58,Subsurface,Loamy,Yes
7.31,0.69,0.8,364,38,252,4.48,1.72,11,15.54,9.94,1.19,0.33,Subsurface,Clayey,Yes
6.71,0.71,0.71,326,22,255,4.69,1.65,14,11.65,6.12,1.26,0.93,Surface,Sandy,Yes
7.7,0.78,0.95,281,37,204,2.59,1.25,8,24.69,3.43,1.95,0.89,Subsurface,Sandy,Yes
6.61,0.55,0.79,361,33,216,2.35,2.1,8,19.75,9.94,1.83,0.4,Subsurface,Clayey,Yes
7.98,0.9,0.92,301,14,264,3.11,0.94,12,9.97,4.59,1.02,0.46,Subsurface,Mixed,No
7.66,0.94,0.79,272,38,230,4.11,1.98,9,9.73,2.7,1.92,0.86,Subsurface,Sandy,No
6.8,0.83,0.61,279,21,218,2.04,1.23,5,20.48,7.74,0.65,0.98,Surface,Sandy,No
6.51,0.67,0.83,319,29,282,4.25,1.92,19,12.76,5.57,0.54,0.82,Subsurface,Mixed,Yes
7.72,0.37,0.98,320,38,262,3.29,1.91,6,6.83,5.1,1.3,0.24,Subsurface,Mixed,Yes
7.56,0.98,1.06,360,14,251,1.99,1.13,19,5.71,7.05,1.65,0.53,Surface,Sandy,Yes
7.59,0.35,0.85,286,20,281,3.85,2.37,14,13.28,2.42,0.83,0.82,Surface,Mixed,Yes
7.66,0.28,0.62,297,11,246,3.7,1.52,19,13.29,7.59,0.62,0.57,Subsurface,Clayey,Yes
6.61,0.5,0.79,319,13,265,3.68,1.02,18,19.14,6.03,1.77,0.74,Surface,Clayey,Yes
7.04,0.15,1.05,284,19,180,4.14,1.85,16,16.5,5.92,1.98,0.23,Surface,Loamy,Yes
6.67,0.98,0.79,317,33,217,2.13,2.0,7,20.4,9.2,1.54,0.37,Subsurface,Loamy,Yes
7.79,0.63,0.99,308,16,298,3.94,2.4,18,11.36,8.65,1.96,0.81,Subsurface,Clayey,Yes
7.43,0.6,0.86,367,21,231,4.61,0.65,8,17.49,6.25,1.75,0.35,Subsurface,Sandy,No
7.0,0.69,0.67,361,17,242,3.36,1.58,13,22.71,6.63,0.88,0.98,Surface,Sandy,Yes
6.6,0.55,1.06,393,39,231,3.2,1.48,18,6.39,8.46,0.66,0.49,Subsurface,Sandy,Yes
6.97,0.13,0.56,368,32,262,4.29,1.12,14,19.17,5.29,1.71,0.36,Subsurface,Mixed,Yes
6.99,0.65,0.87,364,32,264,2.01,2.04,14,19.32,7.37,1.49,0.36,Surface,Sandy,Yes
7.59,0.74,0.65,354,36,239,2.69,0.89,19,20.88,6.33,1.72,0.34,Surface,Clayey,No
7.46,0.48,0.55,315,32,192,4.49,1.16,9,10.38,6.0,1.58,0.48,Surface,Clayey,Yes
7.83,0.78,0.85,255,25,270,3.25,2.03,15,13.33,9.88,1.26,0.67,Surface,Loamy,No
7.21,0.3,0.85,263,11,196,4.44,1.45,17,9.79,2.14,1.91,0.91,Surface,Loamy,No
6.68,0.3,0.99,355,12,297,2.38,0.77,15,11.17,5.32,1.63,0.95,Surface,Mixed,No
7.57,0.25,1.02,267,26,293,2.86,2.29,18,24.37,9.44,0.51,0.68,Subsurface,Mixed,No
7.64,0.43,1.01,253,24,263,4.38,1.96,10,13.91,9.43,1.56,0.71,Surface,Mixed,No
7.34,0.86,0.79,306,27,209,2.07,1.63,15,21.97,7.98,1.32,0.62,Subsurface,Mixed,Yes
7.66,0.85,0.94,368,19,217,4.63,1.72,18,20.9,6.74,0.71,0.47,Surface,Loamy,Yes
7.24,0.44,0.9,302,31,190,2.58,1.75,15,13.89,7.53,1.15,0.63,Surface,Sandy,Yes
7.28,0.63,0.8,351,11,206,4.9,1.5,7,24.84,4.02,1.29,0.33,Surface,Sandy,Yes
7.14,0.75,0.92,274,26,217,4.4,1.99,17,21.82,5.91,1.2,0.46,Surface,Mixed,No
6.54,0.32,1.16,393,25,207,3.09,1.93,6,14.65,6.29,1.15,0.36,Surface,Sandy,Yes
6.66,0.25,0.64,343,33,205,4.1,0.51,6,11.19,2.51,1.45,0.87,Surface,Sandy,No
6.55,0.97,1.13,376,34,282,3.44,0.72,10,6.51,8.93,1.49,0.33,Surface,Loamy,No
7.45,0.66,0.54,373,16,212,4.49,0.55,19,14.3,5.65,1.55,0.8,Surface,Loamy,No
6.97,0.98,0.72,285,28,211,3.31,0.84,17,12.2,9.19,1.64,0.25,Surface,Clayey,No
7.26,0.4,0.7,321,25,233,4.96,0.64,10,19.23,5.12,1.75,0.73,Subsurface,Clayey,No
7.86,0.73,0.94,302,10,204,1.97,0.89,16,5.39,5.27,1.36,0.81,Surface,Mixed,No
6.87,0.3,0.59,328,13,203,3.87,1.58,11,21.63,3.95,0.61,0.28,Surface,Loamy,Yes
7.12,0.34,1.12,347,22,219,2.36,1.84,18,13.33,7.15,1.05,0.82,Subsurface,Mixed,Yes
7.63,0.56,1.08,396,19,206,2.17,2.34,13,14.39,6.39,0.51,0.67,Subsurface,Mixed,Yes
6.84,0.39,0.96,293,20,225,2.93,1.98,7,8.66,9.3,1.39,0.75,Subsurface,Loamy,Yes
6.62,0.25,0.82,279,28,265,2.79,0.56,19,23.75,5.43,1.96,0.78,Subsurface,Sandy,No
6.93,0.34,1.15,323,24,263,1.66,1.44,11,12.97,7.18,1.74,0.33,Subsurface,Loamy,Yes
6.74,0.13,1.08,366,20,276,3.0,1.85,11,21.85,7.66,1.23,0.84,Surface,Sandy,Yes
7.89,0.73,0.85,333,12,248,4.83,1.13,12,9.75,4.56,1.56,0.83,Surface,Clayey,Yes
7.71,0.54,0.99,322,11,272,3.13,1.24,9,6.93,9.05,1.61,0.72,Surface,Mixed,Yes
7.45,0.18,0.9,283,20,248,2.56,2.11,7,17.72,5.05,1.39,0.6,Surface,Mixed,Yes
7.81,0.25,0.91,376,19,289,4.82,0.59,15,24.69,7.1,1.83,0.88,Subsurface,Clayey,No
7.71,0.19,0.73,334,12,218,3.27,1.58,15,17.94,6.93,0.98,0.9,Surface,Mixed,Yes
6.78,0.65,0.82,305,36,260,2.5,2.11,17,17.17,5.37,1.51,0.47,Surface,Clayey,Yes
7.84,0.18,0.55,256,14,208,4.24,2.09,6,13.84,3.47,0.6,0.63,Subsurface,Loamy,No
7.31,0.78,0.75,300,24,254,2.28,0.74,8,10.68,6.74,0.71,0.56,Surface,Loamy,No
7.71,0.12,0.99,385,13,265,2.37,2.19,16,13.62,5.0,1.91,0.54,Surface,Mixed,Yes
7.84,0.32,1.17,307,26,210,2.64,0.65,12,7.98,5.03,1.31,0.86,Subsurface,Clayey,No
6.98,0.9,1.17,334,10,282,2.88,2.35,18,10.24,5.94,1.63,0.73,Subsurface,Clayey,Yes
6.67,0.75,0.89,318,10,244,3.54,0.93,9,14.75,7.42,1.8,0.58,Surface,Clayey,No
6.84,0.17,0.92,257,21,194,3.3,0.73,5,7.9,7.84,1.9,0.83,Subsurface,Clayey,No
7.14,0.84,0.63,303,19,262,4.1,0.65,16,20.83,5.42,0.63,0.95,Subsurface,Mixed,No
7.73,0.54,0.99,393,18,253,4.01,1.19,16,5.23,2.96,1.55,0.53,Surface,Mixed,Yes
7.79,0.86,0.55,381,18,188,1.66,1.2,7,11.43,8.33,1.44,0.31,Surface,Clayey,Yes
6.51,0.64,0.7,308,34,192,1.97,1.55,9,15.33,7.36,1.4,0.94,Surface,Clayey,Yes
7.27,0.71,0.97,343,35,299,2.25,1.97,18,23.58,8.41,0.72,0.97,Surface,Mixed,Yes
7.13,0.99,0.72,295,29,224,3.59,1.52,10,16.47,4.53,1.66,0.53,Surface,Mixed,Yes
6.83,0.31,0.53,343,29,269,4.63,2.46,6,10.9,9.27,0.97,0.72,Surface,Mixed,Yes
6.68,0.66,1.08,348,39,185,2.64,0.92,17,12.04,4.1,0.83,0.27,Subsurface,Sandy,No
7.01,0.51,0.72,262,23,283,4.87,0.92,12,11.78,4.32,1.56,0.24,Surface,Mixed,No
7.91,0.14,0.54,286,35,223,2.11,1.91,17,8.61,6.29,0.82,0.28,Subsurface,Loamy,Yes
6.98,0.11,0.55,324,32,181,4.74,1.13,16,7.9,9.98,1.25,0.82,Surface,Sandy,Yes
7.28,0.21,0.68,307,38,208,4.3,0.84,11,14.61,3.62,0.98,0.57,Subsurface,Sandy,No
7.55,0.68,0.62,268,28,227,2.86,2.08,11,10.41,8.71,1.74,0.72,Subsurface,Loamy,No
7.05,0.61,1.04,395,19,191,2.22,0.95,19,6.84,2.02,1.93,0.64,Subsurface,Mixed,No
7.96,0.6,0.73,394,12,266,2.87,2.0,15,9.33,3.9,1.74,0.36,Subsurface,Sandy,Yes
7.94,0.13,1.06,388,29,293,2.25,0.91,11,15.41,4.77,1.1,0.85,Subsurface,Clayey,No
6.88,0.52,0.62,392,36,246,3.46,2.38,9,10.14,7.19,0.74,0.37,Subsurface,Sandy,Yes
7.25,0.93,0.85,357,31,229,3.51,1.09,6,9.75,2.91,1.55,0.35,Surface,Mixed,Yes
6.95,0.46,0.98,394,26,190,4.19,2.0,12,17.41,3.03,1.86,0.69,Subsurface,Clayey,Yes
6.93,0.66,0.96,339,36,184,3.35,2.18,7,18.79,3.17,1.1,0.9,Surface,Loamy,Yes
6.56,0.8,0.92,369,39,224,2.71,0.75,7,9.82,7.3,0.56,0.89,Subsurface,Loamy,No
7.41,0.81,1.15,254,12,253,4.69,0.64,6,14.44,2.92,0.69,0.55,Surface,Clayey,No
7.25,0.57,0.66,381,21,296,1.77,1.7,6,20.29,5.19,1.07,0.75,Surface,Sandy,Yes
6.58,0.87,0.85,305,24,297,4.33,1.74,18,18.8,3.25,1.25,0.86,Surface,Clayey,Yes
6.92,0.45,1.12,353,14,226,2.93,1.75,6,6.39,5.06,0.94,0.37,Surface,Sandy,Yes
7.86,0.9,0.55,297,36,185,2.13,1.41,17,12.2,7.71,1.23,0.52,Surface,Loamy,Yes
6.86,0.32,0.54,297,24,259,1.92,2.37,10,19.47,4.22,1.94,0.71,Surface,Mixed,Yes
6.72,0.35,0.66,358,29,274,2.27,1.88,12,8.59,6.94,0.62,0.87,Surface,Clayey,Yes
7.23,0.15,0.94,349,33,266,1.93,0.65,7,8.92,3.99,1.71,0.47,Subsurface,Mixed,No
7.98,0.82,0.68,270,25,273,3.11,2.07,10,17.6,7.9,1.18,0.7,Subsurface,Mixed,No
6.86,0.48,0.63,351,18,283,2.72,1.05,7,10.68,8.22,1.48,0.25,Surface,Mixed,Yes
7.51,0.31,0.82,254,17,263,2.75,1.95,13,11.48,4.48,1.95,0.95,Subsurface,Mixed,No
7.64,0.31,0.93,398,20,268,2.05,0.62,19,15.46,2.19,1.19,0.92,Surface,Sandy,No
6.86,0.91,0.67,338,36,278,3.81,2.03,5,20.01,3.03,0.64,0.94,Surface,Sandy,Yes
7.59,0.85,0.71,323,18,248,3.63,1.59,11,14.97,5.93,1.74,0.97,Surface,Clayey,Yes
7.05,0.6,0.93,371,25,242,4.94,1.94,12,22.87,5.06,0.9,0.88,Surface,Sandy,Yes
7.45,0.65,1.16,395,23,290,2.09,1.49,13,7.13,4.76,1.86,0.37,Surface,Sandy,Yes
7.45,0.53,0.97,307,24,246,4.42,2.1,18,20.08,6.63,0.62,0.66,Subsurface,Sandy,Yes
7.3,0.45,1.05,347,39,226,1.62,2.39,9,15.87,3.29,0.84,0.34,Surface,Clayey,Yes
6.64,0.92,0.76,328,23,213,1.76,1.98,10,21.33,5.65,1.95,0.22,Subsurface,Sandy,Yes
7.75,0.21,0.69,254,33,191,3.77,1.99,9,11.33,3.63,1.82,0.31,Surface,Sandy,No
6.98,0.48,0.82,376,19,206,2.92,0.93,14,14.64,9.85,0.83,0.87,Subsurface,Clayey,No
6.78,0.41,1.06,345,22,248,2.31,1.21,9,21.47,2.39,1.66,0.79,Surface,Loamy,Yes
6.56,0.55,0.82,382,10,284,1.51,0.75,15,21.64,2.13,0.63,0.81,Subsurface,Mixed,No
7.39,0.51,1.09,371,32,265,3.82,1.56,15,12.52,6.51,0.74,0.52,Surface,Sandy,Yes
7.52,0.57,1.19,347,39,247,3.04,1.39,11,21.44,2.5,0.77,0.22,Surface,Mixed,Yes
6.52,0.23,0.55,384,18,298,2.1,1.09,18,18.65,8.49,0.56,0.45,Subsurface,Mixed,Yes
7.27,0.56,0.53,339,26,296,4.9,0.64,19,13.19,8.56,1.23,0.56,Surface,Clayey,No
6.84,0.32,0.6,378,35,207,2.73,2.36,16,24.39,5.46,1.09,0.49,Subsurface,Loamy,Yes
7.47,0.27,0.77,301,26,250,2.56,1.71,8,5.62,8.71,1.38,0.6,Surface,Mixed,Yes
6.76,0.16,0.59,347,19,291,3.29,1.15,19,12.65,7.92,1.53,0.69,Subsurface,Clayey,Yes
7.54,0.79,1.11,275,22,224,2.47,1.2,17,11.14,3.08,1.39,0.29,Surface,Loamy,No
7.08,0.48,0.52,370,27,277,2.45,1.29,19,23.72,8.88,0.92,0.93,Surface,Clayey,Yes
7.91,0.66,0.72,261,22,181,4.88,2.12,18,6.99,8.99,0.62,0.65,Surface,Mixed,No
6.71,0.75,0.63,319,30,188,2.41,0.92,10,17.56,4.58,1.6,0.88,Surface,Clayey,No
7.01,0.71,1.15,333,38,258,3.62,2.21,8,19.33,8.2,0.96,0.58,Surface,Sandy,Yes
6.67,0.52,0.97,268,37,210,1.63,1.12,17,8.68,9.18,0.87,0.79,Surface,Clayey,No
7.89,0.45,1.14,381,33,215,2.04,2.24,6,8.0,7.97,1.54,0.92,Surface,Mixed,Yes
7.82,0.44,1.18,345,22,292,1.58,2.29,6,5.96,2.75,1.16,0.68,Subsurface,Loamy,Yes
6.89,0.68,0.85,254,33,284,3.37,1.89,16,8.18,2.76,0.81,0.53,Subsurface,Mixed,No
7.49,0.55,0.66,370,19,194,3.22,2.29,17,21.16,9.86,1.65,0.66,Subsurface,Clayey,Yes
7.73,0.86,0.64,377,29,276,2.66,1.99,8,23.88,6.33,1.71,0.33,Surface,Clayey,Yes
7.33,0.89,0.66,303,16,241,3.95,0.79,15,23.03,7.16,1.98,0.76,Subsurface,Mixed,No
7.29,0.25,1.0,267,16,210,3.69,2.41,9,12.31,9.3,1.2,0.23,Surface,Sandy,No
6.86,0.22,0.53,313,18,206,3.6,0.88,5,19.52,2.06,0.56,0.56,Surface,Clayey,No
6.64,0.67,0.54,387,25,181,2.68,1.49,7,21.54,5.41,1.28,0.64,Subsurface,Mixed,Yes
7.85,0.37,0.93,272,24,252,2.65,1.27,9,21.25,6.53,0.53,0.52,Surface,Loamy,No
7.85,0.12,0.95,369,34,222,4.56,1.2,12,6.25,2.02,1.92,0.59,Surface,Mixed,Yes
7.45,0.9,0.97,364,12,294,3.4,2.07,8,9.3,7.0,0.76,0.34,Surface,Clayey,Yes
7.01,0.3,0.76,331,22,180,2.45,1.08,10,23.78,8.81,1.89,0.26,Subsurface,Clayey,Yes
7.02,0.94,1.06,345,20,262,3.4,1.58,16,19.8,2.44,1.93,0.55,Surface,Clayey,Yes
7.59,0.75,0.87,275,17,188,2.43,1.17,8,21.69,8.43,1.66,0.95,Subsurface,Loamy,No
7.85,0.79,0.57,348,30,239,2.15,2.29,9,15.28,9.82,0.63,0.34,Surface,Sandy,Yes
7.83,0.28,1.06,315,30,181,2.49,0.81,16,12.86,9.36,1.34,0.43,Surface,Sandy,No
7.67,0.31,1.17,353,33,280,3.7,0.85,11,18.02,6.3,1.03,0.9,Subsurface,Sandy,No
7.46,0.57,0.54,390,15,292,3.31,0.72,19,14.46,8.88,1.73,0.41,Surface,Clayey,No
6.63,0.25,0.77,254,19,237,2.08,2.02,17,12.48,8.17,0.95,0.51,Subsurface,Sandy,No
6.74,0.37,0.84,268,35,244,4.68,0.82,19,11.96,8.54,1.18,0.28,Surface,Mixed,No
7.85,0.39,0.6,269,26,289,3.24,1.57,12,8.16,5.18,1.36,0.24,Surface,Sandy,No
7.41,0.24,1.11,399,29,191,4.28,2.03,17,15.59,5.8,0.55,0.73,Subsurface,Sandy,Yes
6.51,0.28,0.7,280,18,234,2.66,0.73,16,15.4,3.91,1.41,0.32,Subsurface,Mixed,No
6.65,0.81,1.05,354,30,269,4.85,2.36,14,16.82,2.41,1.02,0.65,Subsurface,Clayey,Yes
7.5,0.25,0.97,293,23,189,4.13,1.07,14,7.32,6.78,1.29,0.54,Subsurface,Clayey,Yes
6.51,0.13,0.92,350,29,294,3.09,2.08,19,23.3,4.48,0.69,0.28,Surface,Loamy,Yes
6.74,0.67,0.63,338,36,290,4.66,2.09,12,19.84,6.02,1.0,0.54,Surface,Mixed,Yes
7.32,0.98,0.65,298,22,244,4.01,1.2,15,7.62,9.7,1.37,0.4,Subsurface,Clayey,Yes
7.54,0.4,0.53,308,35,244,3.01,1.6,17,6.59,2.51,1.36,0.89,Subsurface,Mixed,Yes
7.48,0.21,0.67,381,10,240,4.91,1.76,16,17.86,8.99,0.74,0.41,Subsurface,Mixed,Yes
6.84,0.61,0.74,366,34,286,2.54,1.33,18,11.83,2.69,1.12,0.76,Surface,Mixed,Yes
7.57,0.92,1.08,384,33,274,2.4,1.22,11,11.38,7.23,1.28,0.75,Subsurface,Loamy,Yes
6.86,0.81,0.76,338,28,254,4.63,2.2,8,21.8,4.75,0.62,0.35,Surface,Loamy,Yes
6.99,0.66,1.03,264,18,248,3.98,0.9,8,11.9,2.8,1.4,0.64,Subsurface,Mixed,No
7.62,0.38,0.81,256,26,214,2.71,2.09,6,17.64,8.06,0.85,0.87,Surface,Mixed,No
7.47,0.59,1.05,365,24,190,2.31,0.91,13,15.74,7.59,1.88,0.28,Surface,Sandy,No
7.77,0.18,1.18,347,29,247,2.12,1.9,10,10.26,7.12,0.9,0.69,Subsurface,Sandy,Yes
7.49,0.71,0.67,367,14,217,2.6,1.08,17,11.63,9.72,1.68,0.34,Surface,Sandy,Yes
7.35,0.75,1.1,357,13,293,1.94,2.35,15,23.86,2.19,1.37,0.39,Subsurface,Mixed,Yes
6.64,0.97,0.94,355,13,218,2.01,1.71,7,11.63,5.48,1.53,0.72,Surface,Loamy,Yes
7.05,0.33,1.07,396,34,200,4.22,1.57,19,20.68,6.5,1.85,0.71,Subsurface,Mixed,Yes
6.9,0.12,0.96,296,24,299,1.72,1.09,7,22.23,4.86,1.77,0.73,Surface,Clayey,Yes
6.87,0.59,0.8,302,14,215,3.04,1.52,17,6.42,7.36,0.69,0.63,Surface,Sandy,Yes
7.96,0.74,0.66,382,26,289,2.92,0.63,17,18.26,9.19,1.9,0.83,Surface,Mixed,No
7.09,0.81,0.55,309,39,271,4.86,0.79,15,19.99,7.58,0.71,0.72,Subsurface,Clayey,No
7.84,0.27,0.87,326,16,251,3.13,1.09,15,13.68,6.55,0.97,0.37,Surface,Clayey,Yes
7.45,0.34,1.19,311,15,199,2.06,2.4,16,16.39,7.9,1.28,0.28,Subsurface,Sandy,Yes
7.69,0.56,1.02,308,24,222,1.81,1.44,18,8.24,2.88,1.9,0.21,Surface,Mixed,Yes
7.25,0.4,0.73,305,34,289,4.06,1.3,5,11.37,7.04,1.44,0.21,Surface,Mixed,Yes
7.37,0.87,1.08,327,29,200,2.02,2.05,6,19.15,5.26,1.81,0.29,Surface,Sandy,Yes
7.24,0.53,1.04,296,23,214,4.78,1.89,9,17.05,4.55,1.91,0.55,Subsurface,Clayey,Yes
6.79,0.82,0.7,387,19,243,3.46,1.83,13,7.73,6.06,1.62,0.2,Subsurface,Mixed,Yes
7.58,0.62,0.51,273,15,286,2.91,1.71,7,24.76,8.44,1.22,0.51,Surface,Mixed,No
6.92,0.8,0.58,278,19,211,3.9,0.76,11,23.76,5.3,1.08,0.82,Subsurface,Clayey,No
6.54,0.4,1.11,384,32,215,2.2,1.28,10,9.48,7.62,0.91,0.3,Surface,Sandy,Yes
7.47,0.85,1.09,344,29,284,2.84,2.3,15,22.5,6.71,1.26,0.83,Subsurface,Mixed,Yes
6.77,0.35,0.71,394,37,248,1.62,2.42,7,10.34,9.33,0.57,0.35,Subsurface,Loamy,Yes
